month_date,deviceCategory,addedToCart,m_number
2020-08-01,desktop,5.193705914270211,0
2020-08-01,mobile,4.8280423280423275,0
2020-08-01,tablet,4.946996466431095,0
2020-09-01,desktop,4.414930158003206,1
2020-09-01,mobile,4.344435780327504,1
2020-09-01,tablet,4.463690872751499,1
2020-10-01,desktop,2.822050670010424,2
2020-10-01,mobile,3.4292035398230087,2
2020-10-01,tablet,3.022269353128314,2
2020-11-01,desktop,2.066768635679885,3
2020-11-01,mobile,4.061879549966909,3
2020-11-01,tablet,3.90702274975272,3
2020-12-01,desktop,4.828866398820119,4
2020-12-01,mobile,3.8913660316173493,4
2020-12-01,tablet,4.0052242054854155,4
2021-01-01,desktop,4.727956187822029,5
2021-01-01,mobile,3.416951994968905,5
2021-01-01,tablet,3.0274802049371217,5
2021-02-01,desktop,4.796362704918033,6
2021-02-01,mobile,3.5768221921945793,6
2021-02-01,tablet,2.2233712512926576,6
2021-03-01,desktop,4.501625587017534,7
2021-03-01,mobile,3.2880929061144535,7
2021-03-01,tablet,3.1563126252505005,7
2021-04-01,desktop,5.349756127677965,8
2021-04-01,mobile,3.7560234999009836,8
2021-04-01,tablet,4.720812182741117,8
2021-05-01,desktop,6.19160834477447,9
2021-05-01,mobile,4.206212251941329,9
2021-05-01,tablet,3.868887694787748,9
